# Wavelength, R, G, B, G2, R_err, G_err, B_err, G2_err
4.480000000000000000e+02,2.190297313627359924e-02,3.801043819444523131e-02,6.835030597813661624e-01,3.906343654299436474e-02,1.258017691652021626e-03,2.442534912530336562e-03,8.535685425957447586e-03,2.406846106890919972e-03
4.500000000000000000e+02,2.061216400541411933e-02,3.630807728134502477e-02,6.915180884482879931e-01,3.736750662290197478e-02,1.206769108865678088e-03,2.380700856942654341e-03,8.753910791146046408e-03,2.358809775730144522e-03
4.520000000000000000e+02,1.958660060858736368e-02,3.447298482991467683e-02,7.011622835082269578e-01,3.557548669279608777e-02,1.170872666823688383e-03,2.342621708627431066e-03,8.681202111317662395e-03,2.323212962569984937e-03
4.540000000000000000e+02,1.888680233066978784e-02,3.328997735889027004e-02,7.148014155264099667e-01,3.436853231906327605e-02,1.177271193661531389e-03,2.340920602526112577e-03,8.892651821164027082e-03,2.338662221142631149e-03
4.560000000000000000e+02,1.854953320230602262e-02,3.350181393314700246e-02,7.337245511049791391e-01,3.464421490911550466e-02,1.161144331985036922e-03,2.436732026358575092e-03,9.064593873010028113e-03,2.423715707225729266e-03
4.580000000000000000e+02,1.826715458832523648e-02,3.519678667520541315e-02,7.408720903876410135e-01,3.631047440621537614e-02,1.131721557296709460e-03,2.576252944348448627e-03,9.125005390291958743e-03,2.528807751653144777e-03
4.600000000000000000e+02,1.811491889849638215e-02,3.907266342110474883e-02,7.388574182312295235e-01,4.017000793012966142e-02,1.099665580361403787e-03,2.799617720489269278e-03,9.033869333036943436e-03,2.763408184228223138e-03
4.620000000000000000e+02,1.808027378714006927e-02,4.574352481965605205e-02,7.298563032092980629e-01,4.680611868837008388e-02,1.074130885642016284e-03,3.184790221240585591e-03,8.884030375031036833e-03,3.184359669129204189e-03
4.640000000000000000e+02,1.840360514913702214e-02,5.679721883514141090e-02,7.245099445882560163e-01,5.790509409393188034e-02,1.077851606197151400e-03,3.851461708640500047e-03,8.852062622308413953e-03,3.836371409266812593e-03
4.660000000000000000e+02,1.904073111414171862e-02,7.362138779330136551e-02,7.215021493955182663e-01,7.470613599857053866e-02,1.080283552632077494e-03,4.646425663378298508e-03,8.689121779899465492e-03,4.622732419384482927e-03
4.680000000000000000e+02,2.006479935006943299e-02,9.893310055210891019e-02,7.227009463864801919e-01,1.000873661554193272e-01,1.096809992823684181e-03,5.758484128641054751e-03,8.640507075240387233e-03,5.768186928609900579e-03
4.700000000000000000e+02,2.113589226776116728e-02,1.339110873793341872e-01,7.166215501296012702e-01,1.351355367943528063e-01,1.116294210521155727e-03,7.117426870384434279e-03,8.491097973618751127e-03,7.102405887726430563e-03
4.720000000000000000e+02,2.280500047392166468e-02,1.858690755193508071e-01,7.192038630922228393e-01,1.870982311345148752e-01,1.168330290978924742e-03,8.597797361631957791e-03,8.620426243832258681e-03,8.576190123170743598e-03
4.740000000000000000e+02,2.454920382058437683e-02,2.526416271983362716e-01,7.166870516903766086e-01,2.538003944902875730e-01,1.232064942099604871e-03,9.880956438559714353e-03,8.411083992355546449e-03,9.878992945455774069e-03
4.760000000000000000e+02,2.625797644223149332e-02,3.308487169808748130e-01,7.123380872221611870e-01,3.320420019425320279e-01,1.308797473868454891e-03,1.081230440726899458e-02,8.626040336090518013e-03,1.079008239675852479e-02
4.780000000000000000e+02,2.765985720589622318e-02,4.149197364648700148e-01,7.031149107862338932e-01,4.161299277699843091e-01,1.384917709225273828e-03,1.107976131352709538e-02,8.764052121602472489e-03,1.105415956569506981e-02
4.800000000000000000e+02,2.844182634183031744e-02,4.937391795894137680e-01,6.850888928970653158e-01,4.949504799443065761e-01,1.453463674548430241e-03,1.070712851483830719e-02,8.693004964001271873e-03,1.061260861875579740e-02
4.820000000000000000e+02,2.873763913913288462e-02,5.633538445577365161e-01,6.637664578467513676e-01,5.645990102264883959e-01,1.470384062875507896e-03,9.941508969967793527e-03,8.715180904957355035e-03,9.792624375290466879e-03
4.840000000000000000e+02,2.884601641045516848e-02,6.246130161267601233e-01,6.441667148972552992e-01,6.258889749795757407e-01,1.510911286875475613e-03,9.237927446996783282e-03,8.649145267966821052e-03,9.202247060537229947e-03
4.860000000000000000e+02,2.889409259559029899e-02,6.787575982811870912e-01,6.271954253645417587e-01,6.800313696929656260e-01,1.560760946712814491e-03,9.000715031709512898e-03,8.721582106527576983e-03,8.929792344590948422e-03
